"internal_id","generated_internal_id","award_id","recipient_name","recipient_state","action_date","modification_number","federal_action_obligation","action_year"
259630772,"ASST_NON_AZ0053L9T021205_086","AZ0053L9T021205","UNITED STATES VETERANS INITIATIVE","CA","2013-05-01",NA,496562,2013
259632229,"ASST_NON_AZ0074L9T021205_086","AZ0074L9T021205","THE SALVATION ARMY","CA","2013-05-01",NA,45360,2013
259632309,"ASST_NON_AZ0081L9T021205_086","AZ0081L9T021205","THE SALVATION ARMY","CA","2013-05-01",NA,73080,2013
259634164,"ASST_NON_AZ0115L9T021203_086","AZ0115L9T021203","UNITED STATES VETERANS INITIATIVE","CA","2013-05-01",NA,157327,2013
260011785,"ASST_NON_CA0001L9T001202_086","CA0001L9T001202","CATHOLIC CHARITIES OF SANTA CLARA COUNTY","CA","2013-05-01",NA,333776,2013
260011801,"ASST_NON_CA0002L9T001203_086","CA0002L9T001203","SOUTH COUNTY COMMUNITY SERVICES","CA","2013-05-01",NA,367901,2013
260011834,"ASST_NON_CA0004L9T001205_086","CA0004L9T001205","HOMEFIRST SERVICES OF SANTA CLARA COUNTY","CA","2013-05-01",NA,257536,2013
260011840,"ASST_NON_CA0005L9T001205_086","CA0005L9T001205","SANTA CLARA UNIFIED SCHOOL DISTRICT","CA","2013-05-01",NA,204353,2013
260011856,"ASST_NON_CA0007L9T001204_086","CA0007L9T001204","SOUTH COUNTY COMMUNITY SERVICES","CA","2013-05-01",NA,291294,2013
260011871,"ASST_NON_CA0008L9T001205_086","CA0008L9T001205","COMMUNITY TECHNOLOGY ALLIANCE","CA","2013-05-01",NA,309501,2013
260011877,"ASST_NON_CA0009L9T001205_086","CA0009L9T001205","LIFEMOVES","CA","2013-05-01",NA,29073,2013
260012247,"ASST_NON_CA0010L9T001205_086","CA0010L9T001205","HOMEFIRST SERVICES OF SANTA CLARA COUNTY","CA","2013-05-01",NA,95654,2013
260012252,"ASST_NON_CA0011L9T001205_086","CA0011L9T001205","LIFEMOVES","CA","2013-05-01",NA,134441,2013
260012263,"ASST_NON_CA0012L9T001205_086","CA0012L9T001205","LIFEMOVES","CA","2013-05-01",NA,49906,2013
260012270,"ASST_NON_CA0013L9T001205_086","CA0013L9T001205","LIFEMOVES","CA","2013-05-01",NA,156119,2013
260012278,"ASST_NON_CA0014L9T001205_086","CA0014L9T001205","CATHOLIC CHARITIES OF SANTA CLARA COUNTY","CA","2013-05-01",NA,362693,2013
260012293,"ASST_NON_CA0015L9T001205_086","CA0015L9T001205","LIFEMOVES","CA","2013-05-01",NA,232421,2013
260012302,"ASST_NON_CA0016L9T001205_086","CA0016L9T001205","LIFEMOVES","CA","2013-05-01",NA,138325,2013
260012309,"ASST_NON_CA0017L9T001205_086","CA0017L9T001205","LIFEMOVES","CA","2013-05-01",NA,95986,2013
260012367,"ASST_NON_CA0018L9T001205_086","CA0018L9T001205","COUNTY OF SANTA CLARA","CA","2013-05-01",NA,514069,2013
260012376,"ASST_NON_CA0019L9T001205_086","CA0019L9T001205","COMMUNITY WORKING GROUP, INC.","CA","2013-05-01",NA,43936,2013
260014198,"ASST_NON_CA0020L9T001205_086","CA0020L9T001205","LIFEMOVES","CA","2013-05-01",NA,53377,2013
260014206,"ASST_NON_CA0021L9T001205_086","CA0021L9T001205","SANTA CLARA COUNTY HOUSING AUTHORITY","CA","2013-05-01",NA,3334911,2013
260014223,"ASST_NON_CA0022L9T001205_086","CA0022L9T001205","HOMEFIRST SERVICES OF SANTA CLARA COUNTY","CA","2013-05-01",NA,54771,2013
260014232,"ASST_NON_CA0023L9T001205_086","CA0023L9T001205","SOUTH COUNTY HOUSING CORPORATION","CA","2013-05-01",NA,92745,2013
260014239,"ASST_NON_CA0024L9T001205_086","CA0024L9T001205","FAMILY SUPPORTIVE HOUSING, INC.","CA","2013-05-01",NA,45913,2013
260014246,"ASST_NON_CA0025L9T001205_086","CA0025L9T001205","FAMILY SUPPORTIVE HOUSING, INC.","CA","2013-05-01",NA,98364,2013
260014253,"ASST_NON_CA0026L9T001205_086","CA0026L9T001205","ABODE SERVICES","CA","2013-05-01",NA,135872,2013
260014270,"ASST_NON_CA0027L9T001205_086","CA0027L9T001205","LIFEMOVES","CA","2013-05-01","2013-05-01110800039630",166837,2013
260014331,"ASST_NON_CA0028L9T001205_086","CA0028L9T001205","FAMILY SUPPORTIVE HOUSING, INC.","CA","2013-05-01",NA,195620,2013
260014339,"ASST_NON_CA0029L9T001204_086","CA0029L9T001204","FAMILY SUPPORTIVE HOUSING, INC.","CA","2013-05-01",NA,205105,2013
260015488,"ASST_NON_CA0030L9T001205_086","CA0030L9T001205","WEST VALLEY COMMUNITY SERVICES OF SANTA CLARA COUNTY, INC.","CA","2013-05-01",NA,84105,2013
260015496,"ASST_NON_CA0031L9T001205_086","CA0031L9T001205","BILL WILSON CENTER","CA","2013-05-01",NA,558923,2013
260015514,"ASST_NON_CA0032L9T001205_086","CA0032L9T001205","BILL WILSON CENTER","CA","2013-05-01",NA,309348,2013
260015542,"ASST_NON_CA0035L9T011205_086","CA0035L9T011205","COMMUNITY FORWARD SF, INC","CA","2013-05-01",NA,351059,2013
260015547,"ASST_NON_CA0036L9T011205_086","CA0036L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,333990,2013
260015642,"ASST_NON_CA0038L9T011205_086","CA0038L9T011205","THE SAN FRANCISCO PARTICULAR COUNCIL OF THE SOCIETY OF ST. VINCENT DE PAUL","CA","2013-05-01",NA,133651,2013
260015649,"ASST_NON_CA0039L9T011205_086","CA0039L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,955832,2013
260016845,"ASST_NON_CA0041L9T011205_086","CA0041L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,419360,2013
260016858,"ASST_NON_CA0042L9T011205_086","CA0042L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01","2013-05-01110800039674",849629,2013
260016871,"ASST_NON_CA0043L9T011205_086","CA0043L9T011205","COMPASS FAMILY SERVICES","CA","2013-05-01",NA,297469,2013
260016879,"ASST_NON_CA0044L9T011205_086","CA0044L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,242793,2013
260016885,"ASST_NON_CA0045L9T011205_086","CA0045L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,823058,2013
260016902,"ASST_NON_CA0046L9T011205_086","CA0046L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,690265,2013
260016915,"ASST_NON_CA0047L9T011205_086","CA0047L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,236559,2013
260017015,"ASST_NON_CA0048L9T011205_086","CA0048L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,133219,2013
260017022,"ASST_NON_CA0049L9T011204_086","CA0049L9T011204","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,212407,2013
260018325,"ASST_NON_CA0050L9T011205_086","CA0050L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,180515,2013
260018334,"ASST_NON_CA0051L9T011204_086","CA0051L9T011204","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,575230,2013
260018348,"ASST_NON_CA0052L9T011205_086","CA0052L9T011205","LARKIN STREET YOUTH SERVICES","CA","2013-05-01",NA,111548,2013
260018365,"ASST_NON_CA0053L9T011204_086","CA0053L9T011204","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,311430,2013
260018382,"ASST_NON_CA0054L9T011205_086","CA0054L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,384907,2013
260018389,"ASST_NON_CA0055L9T011205_086","CA0055L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,55063,2013
260018406,"ASST_NON_CA0056L9T011205_086","CA0056L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,84936,2013
260018413,"ASST_NON_CA0057L9T011205_086","CA0057L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,962779,2013
260018420,"ASST_NON_CA0058L9T011205_086","CA0058L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,767141,2013
260018437,"ASST_NON_CA0059L9T011205_086","CA0059L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,106204,2013
260018572,"ASST_NON_CA0060L9T011205_086","CA0060L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,1183007,2013
260018589,"ASST_NON_CA0061L9T011205_086","CA0061L9T011205","COMMUNITY HOUSING PARTNERSHIP","CA","2013-05-01",NA,158804,2013
260018611,"ASST_NON_CA0063L9T011205_086","CA0063L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,191166,2013
260018624,"ASST_NON_CA0064L9T011205_086","CA0064L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,362876,2013
260018632,"ASST_NON_CA0065L9T011205_086","CA0065L9T011205","CATHOLIC CHARITIES CYO OF THE ARCHDIOCESE OF SAN FRANCISCO","CA","2013-05-01",NA,141402,2013
260018641,"ASST_NON_CA0066L9T011204_086","CA0066L9T011204","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,615981,2013
260018658,"ASST_NON_CA0067L9T011204_086","CA0067L9T011204","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,85924,2013
260018756,"ASST_NON_CA0068L9T011205_086","CA0068L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01","2013-05-01110800039774",159305,2013
260018769,"ASST_NON_CA0069L9T011205_086","CA0069L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,87775,2013
260019635,"ASST_NON_CA0070L9T011205_086","CA0070L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,181594,2013
260019648,"ASST_NON_CA0071L9T011205_086","CA0071L9T011205","SAN FRANCISCO NETWORK MINISTRIES HOUSING CORPORATION","CA","2013-05-01",NA,71339,2013
260019663,"ASST_NON_CA0073L9T011205_086","CA0073L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,947785,2013
260019680,"ASST_NON_CA0074L9T011205_086","CA0074L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,115597,2013
260019686,"ASST_NON_CA0075L9T011205_086","CA0075L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,128246,2013
260019694,"ASST_NON_CA0076L9T011205_086","CA0076L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,766895,2013
260019704,"ASST_NON_CA0077L9T011205_086","CA0077L9T011205","THE SALVATION ARMY","CA","2013-05-01",NA,434421,2013
260019768,"ASST_NON_CA0078L9T011205_086","CA0078L9T011205","SWORDS TO PLOWSHARES VETERANS RIGHTS ORGANIZATION","CA","2013-05-01",NA,234565,2013
260019773,"ASST_NON_CA0079L9T011205_086","CA0079L9T011205","SWORDS TO PLOWSHARES VETERANS RIGHTS ORGANIZATION","CA","2013-05-01",NA,256458,2013
260020860,"ASST_NON_CA0080L9T011205_086","CA0080L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,999913,2013
260020877,"ASST_NON_CA0081L9T011205_086","CA0081L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,671066,2013
260020884,"ASST_NON_CA0082L9T011205_086","CA0082L9T011205","CITY & COUNTY OF SAN FRANCISCO","CA","2013-05-01",NA,358694,2013
260020899,"ASST_NON_CA0083L9T021205_086","CA0083L9T021205","ALAMEDA COUNTY HOUSING & COMMUNITY DEVELOPMENT","CA","2013-05-01",NA,305881,2013
260020916,"ASST_NON_CA0084L9T021205_086","CA0084L9T021205","ALAMEDA COUNTY HOUSING & COMMUNITY DEVELOPMENT","CA","2013-05-01",NA,1069868,2013
260020933,"ASST_NON_CA0085L9T021205_086","CA0085L9T021205","ALAMEDA COUNTY HOUSING & COMMUNITY DEVELOPMENT","CA","2013-05-01",NA,4418511,2013
260020950,"ASST_NON_CA0086L9T021205_086","CA0086L9T021205","ALAMEDA COUNTY HOUSING & COMMUNITY DEVELOPMENT","CA","2013-05-01",NA,188290,2013
