"variable","row","value","robust_z","coc","state","predictor_year"
"state_homeless_funding_per_capita",10,73.3,68.96,"CA-500","California",2021
"state_homeless_funding_per_capita",23,73.3,68.96,"CA-501","California",2021
"state_homeless_funding_per_capita",36,73.3,68.96,"CA-502","California",2021
"state_homeless_funding_per_capita",49,73.3,68.96,"CA-503","California",2021
"state_homeless_funding_per_capita",62,73.3,68.96,"CA-504","California",2021
"state_homeless_funding_per_capita",75,73.3,68.96,"CA-505","California",2021
"state_homeless_funding_per_capita",88,73.3,68.96,"CA-506","California",2021
"state_homeless_funding_per_capita",101,73.3,68.96,"CA-507","California",2021
"state_homeless_funding_per_capita",114,73.3,68.96,"CA-508","California",2021
"state_homeless_funding_per_capita",127,73.3,68.96,"CA-509","California",2021
"state_homeless_funding_per_capita",139,73.3,68.96,"CA-510","California",2021
"state_homeless_funding_per_capita",152,73.3,68.96,"CA-511","California",2021
"state_homeless_funding_per_capita",165,73.3,68.96,"CA-512","California",2021
"state_homeless_funding_per_capita",178,73.3,68.96,"CA-513","California",2021
"state_homeless_funding_per_capita",191,73.3,68.96,"CA-514","California",2021
"state_homeless_funding_per_capita",204,73.3,68.96,"CA-515","California",2021
"state_homeless_funding_per_capita",217,73.3,68.96,"CA-516","California",2021
"state_homeless_funding_per_capita",230,73.3,68.96,"CA-517","California",2021
"state_homeless_funding_per_capita",243,73.3,68.96,"CA-518","California",2021
"state_homeless_funding_per_capita",256,73.3,68.96,"CA-519","California",2021
"state_homeless_funding_per_capita",269,73.3,68.96,"CA-520","California",2021
"state_homeless_funding_per_capita",282,73.3,68.96,"CA-521","California",2021
"state_homeless_funding_per_capita",295,73.3,68.96,"CA-522","California",2021
"state_homeless_funding_per_capita",308,73.3,68.96,"CA-523","California",2021
"state_homeless_funding_per_capita",321,73.3,68.96,"CA-524","California",2021
"state_homeless_funding_per_capita",334,73.3,68.96,"CA-525","California",2021
"state_homeless_funding_per_capita",347,73.3,68.96,"CA-526","California",2021
"state_homeless_funding_per_capita",356,73.3,68.96,"CA-527","California",2021
"state_homeless_funding_per_capita",365,73.3,68.96,"CA-529","California",2021
"state_homeless_funding_per_capita",372,73.3,68.96,"CA-530","California",2021
"state_homeless_funding_per_capita",377,73.3,68.96,"CA-531","California",2021
"state_homeless_funding_per_capita",390,73.3,68.96,"CA-600","California",2021
"state_homeless_funding_per_capita",403,73.3,68.96,"CA-601","California",2021
