"internal_id","generated_internal_id","award_id","recipient_name","recipient_state","action_date","modification_number","federal_action_obligation"
266835245,"ASST_NON_FL0868L4D012000_086","FL0868L4D012000","BROWARD, COUNTY OF","FL","2022-01-12","2022-01-12220120015484",331006
266805599,"ASST_NON_FL0106L4H071912_086","FL0106L4H071912","ORANGE COUNTY, FLORIDA","FL","2022-01-27","2022-01-27220270037460",-100744.78
266817857,"ASST_NON_FL0331L4H071908_086","FL0331L4H071908","HOMELESS SERVICES NETWORK OF CENTRAL FLORIDA, INC.","FL","2022-02-15","2022-02-15220460028621",-4.98
266822067,"ASST_NON_FL0471L4H071806_086","FL0471L4H071806","HOMELESS SERVICES NETWORK OF CENTRAL FLORIDA, INC.","FL","2022-02-15","2022-02-15220460028590",-50996.82
266804690,"ASST_NON_FL0093L4H071811_086","FL0093L4H071811","HOMELESS SERVICES NETWORK OF CENTRAL FLORIDA, INC.","FL","2022-02-15","2022-02-15220460028596",-0.13
266803799,"ASST_NON_FL0086L4H071912_086","FL0086L4H071912","HOMELESS SERVICES NETWORK OF CENTRAL FLORIDA, INC.","FL","2022-02-15","2022-02-15220460028626",-3075.5
266804666,"ASST_NON_FL0091L4H071912_086","FL0091L4H071912","HOMELESS SERVICES NETWORK OF CENTRAL FLORIDA, INC.","FL","2022-02-15","2022-02-15220460028632",-22950.68
266824123,"ASST_NON_FL0566L4H071702_086","FL0566L4H071702","HOMELESS SERVICES NETWORK OF CENTRAL FLORIDA, INC.","FL","2022-02-15","2022-02-15220460028562",-127174.16
266824124,"ASST_NON_FL0566L4H071803_086","FL0566L4H071803","HOMELESS SERVICES NETWORK OF CENTRAL FLORIDA, INC.","FL","2022-02-15","2022-02-15220460028584",-719.14
266814285,"ASST_NON_FL0257L4D011912_086","FL0257L4D011912","BROWARD, COUNTY OF","FL","2022-02-28","2022-02-28220590020171",-76396.42
266819529,"ASST_NON_FL0376L4H071703_086","FL0376L4H071703","COUNTY OF OSCEOLA","FL","2022-03-01","2022-03-01220600012188",-20616
266820244,"ASST_NON_FL0412L4H071903_086","FL0412L4H071903","COUNTY OF OSCEOLA","FL","2022-03-01","2022-03-01220600012214",-97524
266809160,"ASST_NON_FL0174L4D001811_086","FL0174L4D001811","MIAMI-DADE COUNTY","FL","2022-03-03","2022-03-03220620024282",-24606
266831736,"ASST_NON_FL0747L4D001800_086","FL0747L4D001800","MIAMI-DADE COUNTY","FL","2022-03-03","2022-03-03220620024276",-101523
266824251,"ASST_NON_FL0573L4H101904_086","FL0573L4H101904","MENTAL HEALTH RESOURCE CENTER INC","FL","2022-03-21","2022-03-21220800011990",-4224
266822092,"ASST_NON_FL0476L4H101906_086","FL0476L4H101906","I.M. SULZBACHER CENTER FOR THE HOMELESS, INC","FL","2022-03-21","2022-03-21220800011984",-103614.62
266831007,"ASST_NON_FL0739L4H141800_086","FL0739L4H141800","MARION, COUNTY OF (INC)","FL","2022-04-05","2022-04-05220950028500",-228.6
266830296,"ASST_NON_FL0726L4H061800_086","FL0726L4H061800","CAPITAL CITY YOUTH SERVICES, INC.","FL","2022-04-05","2022-04-05220950028508",-19522
266819441,"ASST_NON_FL0364L4D011910_086","FL0364L4D011910","BROWARD, COUNTY OF","FL","2022-04-05","2022-04-05220950025680",-12195.57
266828003,"ASST_NON_FL0678L4H031700_086","FL0678L4H031700","WILSON HOUSE INC, THE","FL","2022-04-05","2022-04-05220950028363",-51418.7
