"internal_id","generated_internal_id","award_id","recipient_name","recipient_state","action_date","modification_number","federal_action_obligation"
260118186,"ASST_NON_CA2159L9T302200_086","CA2159L9T302200","COUNTY OF INYO","CA","2024-01-02","2024-01-02240020027739",3775
260118127,"ASST_NON_CA2121L9T032200_086","CA2121L9T032200","TLCS INC","CA","2024-01-09","2024-01-09240090042364",3e+05
260118133,"ASST_NON_CA2124L9T052200_086","CA2124L9T052200","COUNTY OF CONTRA COSTA","CA","2024-01-12","2024-01-12240120032870",491184
260118122,"ASST_NON_CA2119D9T032200_086","CA2119D9T032200","SHELTER, INC.","CA","2024-01-16","2024-01-16240160027346",715000
260118084,"ASST_NON_CA2097H9T022200_086","CA2097H9T022200","ST. MARY'S CENTER","CA","2024-01-16","2024-01-16240160026564",6e+05
260118231,"ASST_NON_CA2183L9D092200_086","CA2183L9D092200","COUNTY OF SAN BERNARDINO","CA","2024-01-17","2024-01-17240170033692",431319
260118189,"ASST_NON_CA2161T9D002200_086","CA2161T9D002200","LOS ANGELES HOMELESS SERVICES AUTHORITY","CA","2024-01-17","2024-01-17240170033688",2759758
260118235,"ASST_NON_CA2187L9D142200_086","CA2187L9D142200","COUNTY OF SAN LUIS OBISPO","CA","2024-01-18","2024-01-18240180083351",43551
260118242,"ASST_NON_CA2195H9T052200_086","CA2195H9T052200","COUNTY OF CONTRA COSTA","CA","2024-01-19","2024-01-19240190044640",161064
260118245,"ASST_NON_CA2198H9T082200_086","CA2198H9T082200","HOUSING MATTERS","CA","2024-01-29","2024-01-29240290042128",1055674
260118062,"ASST_NON_CA2095H9T022200_086","CA2095H9T022200","COUNTY OF ALAMEDA","CA","2024-01-31","2024-01-31240310059944",8244400
260118125,"ASST_NON_CA2120L9T032200_086","CA2120L9T032200","SACRAMENTO STEPS FORWARD","CA","2024-01-31","2024-01-31240310061448",333980
260117282,"ASST_NON_CA1994T9T082201_086","CA1994T9T082201","HOUSING MATTERS","CA","2024-02-06","2024-02-06240370042394",62964
260118101,"ASST_NON_CA2104H9D002200_086","CA2104H9D002200","HOUSING AUTHORITY OF THE CITY OF LOS ANGELES","CA","2024-02-09","2024-02-09240400035264",5361840
260118121,"ASST_NON_CA2118L9T032200_086","CA2118L9T032200","SACRAMENTO STEPS FORWARD","CA","2024-02-14","2024-02-14240450040943",867661
260118149,"ASST_NON_CA2132L9T082200_086","CA2132L9T082200","COUNTY OF SANTA CRUZ","CA","2024-02-21","2024-02-21240520040121",152075
260118213,"ASST_NON_CA2171T9D022200_086","CA2171T9D022200","PATHWAYS OF HOPE","CA","2024-02-22","2024-02-22240530040520",346067
260022263,"ASST_NON_CA0101L9T022215_086","CA0101L9T022215","COUNTY OF ALAMEDA","CA","2024-03-01","2024-03-01240610060414",1200000
260118179,"ASST_NON_CA2154L9T242200_086","CA2154L9T242200","SUTTER YUBA HOMELESS CONSORTIUM","CA","2024-03-05","2024-03-05240650053676",18846
260118243,"ASST_NON_CA2196H9T052200_086","CA2196H9T052200","SHELTER, INC.","CA","2024-03-05","2024-03-05240650052670",4757764
260118234,"ASST_NON_CA2186L9D132200_086","CA2186L9D132200","IMPERIAL COUNTY","CA","2024-03-05","2024-03-05240650055428",25526
260118130,"ASST_NON_CA2123D9T052200_086","CA2123D9T052200","SHELTER, INC.","CA","2024-03-06","2024-03-06240660148171",536883
260117148,"ASST_NON_CA1913L9T082203_086","CA1913L9T082203","WALNUT AVENUE FAMILY & WOMEN'S CENTER","CA","2024-03-06","2024-03-06240660148214",264098
260118107,"ASST_NON_CA2112D9T002200_086","CA2112D9T002200","COMMUNITY SOLUTIONS FOR CHILDREN, FAMILIES AND INDIVIDUALS","CA","2024-03-15","2024-03-15240750033010",879172
260118233,"ASST_NON_CA2185L9D122200_086","CA2185L9D122200","CITY OF GLENDALE","CA","2024-03-19","2024-03-19240790032282",79840
260118239,"ASST_NON_CA2192H9T002200_086","CA2192H9T002200","SANTA CLARA, COUNTY OF","CA","2024-03-26","2024-03-26240860062723",5463093
260118241,"ASST_NON_CA2194H9T002200_086","CA2194H9T002200","SANTA CLARA, COUNTY OF","CA","2024-03-26","2024-03-26240860062727",261303
260118238,"ASST_NON_CA2191H9T002200_086","CA2191H9T002200","SANTA CLARA, COUNTY OF","CA","2024-03-26","2024-03-26240860062719",3225506
260118120,"ASST_NON_CA2117L9T022200_086","CA2117L9T022200","COUNTY OF ALAMEDA","CA","2024-03-28","2024-03-28240880038224",1168343
260118220,"ASST_NON_CA2175D9D032200_086","CA2175D9D032200","DOMESTIC VIOLENCE SOLUTIONS FOR SANTA BARBARA COUNTY","CA","2024-03-28","2024-03-28240880040120",197940
260116736,"ASST_NON_CA1746D9T051901_086","CA1746D9T051901","SHELTER, INC.","CA","2024-04-22","2024-04-22241130028894",-396237
260117143,"ASST_NON_CA1912L9T042001_086","CA1912L9T042001","REACH FOR HOME","CA","2024-04-22","2024-04-22241130029493",-210477
260117209,"ASST_NON_CA1969Y9T012100_086","CA1969Y9T012100","CITY & COUNTY OF SAN FRANCISCO","CA","2024-04-22","2024-04-22241130029706",-368177
260117152,"ASST_NON_CA1914L9T212001_086","CA1914L9T212001","CITY OF WOODLAND","CA","2024-04-22","2024-04-22241130029499",-30500
260117030,"ASST_NON_CA1864L9T202001_086","CA1864L9T202001","SIERRA SVING GRACE HMELESS PRJ","CA","2024-04-22","2024-04-22241130029487",-165025
260116951,"ASST_NON_CA1828D9T022102_086","CA1828D9T022102","RUBY'S PLACE","CA","2024-04-22","2024-04-22241130029712",-733164
260067519,"ASST_NON_CA0983L9T192007_086","CA0983L9T192007","BUTTE COUNTY BEHAVIORAL HEALTH","CA","2024-04-22","2024-04-22241130029510",-33891
260116810,"ASST_NON_CA1771L9T181901_086","CA1771L9T181901","EDGE COMMUNITY CHURCH OF SUISUN, INC.","CA","2024-04-22","2024-04-22241130028877",-107946
260118106,"ASST_NON_CA2111L9T002200_086","CA2111L9T002200","SANTA CLARA, COUNTY OF","CA","2024-04-22","2024-04-22241130030180",909349
260117805,"ASST_NON_CA2074Y9T062301_086","CA2074Y9T062301","COALITION OF HOMELESS SERVICES PROVIDERS","CA","2024-05-21","2024-05-21241420031710",94398
260117971,"ASST_NON_CA2087Y9T062301_086","CA2087Y9T062301","HOLLISTER YOUTH ALLIANCE","CA","2024-05-21","2024-05-21241420031742",275000
260117715,"ASST_NON_CA2067Y9T062301_086","CA2067Y9T062301","COALITION OF HOMELESS SERVICES PROVIDERS","CA","2024-05-21","2024-05-21241420031755",150000
260117779,"ASST_NON_CA2072Y9T062301_086","CA2072Y9T062301","COMMUNITY HUMAN SERVICES","CA","2024-05-21","2024-05-21241420031702",282392
260116631,"ASST_NON_CA1719Y9T012305_086","CA1719Y9T012305","DEPARTMENT OF HOMELESSNESS & SUPPORTIVE HOUSING","CA","2024-05-21","2024-05-21241420031797",549000
260116624,"ASST_NON_CA1718Y9T012305_086","CA1718Y9T012305","DEPARTMENT OF HOMELESSNESS & SUPPORTIVE HOUSING","CA","2024-05-21","2024-05-21241420031793",225000
260117857,"ASST_NON_CA2078Y9T022301_086","CA2078Y9T022301","COUNTY OF ALAMEDA","CA","2024-05-21","2024-05-21241420031726",96764
260117870,"ASST_NON_CA2079Y9T022301_086","CA2079Y9T022301","COUNTY OF ALAMEDA","CA","2024-05-21","2024-05-21241420031730",967644
260117844,"ASST_NON_CA2077Y9T022301_086","CA2077Y9T022301","COUNTY OF ALAMEDA","CA","2024-05-21","2024-05-21241420031722",548332
260117460,"ASST_NON_CA2018D9T252302_086","CA2018D9T252302","TAHOE COALITION FOR THE HOMELESS","CA","2024-05-21","2024-05-21241420031814",126148
260060120,"ASST_NON_CA0780L9T202315_086","CA0780L9T202315","COUNTY OF MERCED","CA","2024-05-21","2024-05-21241420031824",178386
260117831,"ASST_NON_CA2076Y9T002301_086","CA2076Y9T002301","COVENANT HOUSE CALIFORNIA","CA","2024-05-21","2024-05-21241420031718",1555534
260070678,"ASST_NON_CA1072L9T062311_086","CA1072L9T062311","COUNTY OF SAN BENITO","CA","2024-05-21","2024-05-21241420031832",399987
260117483,"ASST_NON_CA2029Y9D012302_086","CA2029Y9D012302","REGIONAL TASK FORCE ON THE HOMELESS, INC","CA","2024-05-21","2024-05-21241420032924",167582
260116935,"ASST_NON_CA1820Y9D012304_086","CA1820Y9D012304","REGIONAL TASK FORCE ON THE HOMELESS, INC","CA","2024-05-21","2024-05-21241420032940",153816
260117493,"ASST_NON_CA2032Y9D012302_086","CA2032Y9D012302","REGIONAL TASK FORCE ON THE HOMELESS, INC","CA","2024-05-21","2024-05-21241420032928",181749
260116929,"ASST_NON_CA1819Y9D012304_086","CA1819Y9D012304","REGIONAL TASK FORCE ON THE HOMELESS, INC","CA","2024-05-21","2024-05-21241420032919",82500
260117497,"ASST_NON_CA2033Y9D012302_086","CA2033Y9D012302","REGIONAL TASK FORCE ON THE HOMELESS, INC","CA","2024-05-21","2024-05-21241420032932",1280000
260117501,"ASST_NON_CA2034Y9D012302_086","CA2034Y9D012302","REGIONAL TASK FORCE ON THE HOMELESS, INC","CA","2024-05-21","2024-05-21241420032936",2234279
260035333,"ASST_NON_CA0301L9T182316_086","CA0301L9T182316","LUTHERAN SOCIAL SERVICES OF NORTHERN CALIFORNIA","CA","2024-05-21","2024-05-21241420031873",419627
