"internal_id","generated_internal_id","award_id","recipient_name","recipient_state","action_date","modification_number","federal_action_obligation"
266836805,"ASST_NON_FL0973L4H142200_086","FL0973L4H142200","MARION COUNTY BOARD OF COUNTY COMMISSIONERS","FL","2024-01-18","2024-01-18240180041407",64814
266807393,"ASST_NON_FL0126L4H102114_086","FL0126L4H102114","I.M. SULZBACHER CENTER FOR THE HOMELESS, INC","FL","2024-01-22","2024-01-22240220022428",-18518.66
266808973,"ASST_NON_FL0169L4D002114_086","FL0169L4D002114","MIAMI-DADE COUNTY","FL","2024-01-25","2024-01-25240250015807",-215119.55
266810538,"ASST_NON_FL0191L4D002114_086","FL0191L4D002114","MIAMI-DADE COUNTY","FL","2024-01-25","2024-01-25240250015813",-49970
266816015,"ASST_NON_FL0299L4H012012_086","FL0299L4H012012","TAMPA HOUSING AUTHORITY","FL","2024-01-25","2024-01-25240250017587",-6632
266816014,"ASST_NON_FL0299L4H011911_086","FL0299L4H011911","TAMPA HOUSING AUTHORITY","FL","2024-01-25","2024-01-25240250017547",-22163.59
266797716,"ASST_NON_FL0023L4H012012_086","FL0023L4H012012","TAMPA HOUSING AUTHORITY","FL","2024-01-25","2024-01-25240250017593",-80364
266810556,"ASST_NON_FL0192L4D002114_086","FL0192L4D002114","VOLUNTEERS OF AMERICA OF FLORIDA INC","FL","2024-01-25","2024-01-25240250015819",-24737
266797715,"ASST_NON_FL0023L4H011911_086","FL0023L4H011911","TAMPA HOUSING AUTHORITY","FL","2024-01-25","2024-01-25240250017553",-56886
266810597,"ASST_NON_FL0195L4D002114_086","FL0195L4D002114","MIAMI-DADE COUNTY","FL","2024-01-30","2024-01-30240300018144",-278422
266816725,"ASST_NON_FL0312L4D002113_086","FL0312L4D002113","MIAMI-DADE COUNTY","FL","2024-01-30","2024-01-30240300018156",-447617.31
266819419,"ASST_NON_FL0362L4D002112_086","FL0362L4D002112","MIAMI-DADE COUNTY","FL","2024-01-30","2024-01-30240300018126",-212034.76
266820845,"ASST_NON_FL0442L4D002110_086","FL0442L4D002110","MIAMI-DADE COUNTY","FL","2024-01-30","2024-01-30240300018132",-287858.88
266811300,"ASST_NON_FL0209L4D002114_086","FL0209L4D002114","MIAMI-DADE COUNTY","FL","2024-01-30","2024-01-30240300018150",-18853.4
266816738,"ASST_NON_FL0313L4D002113_086","FL0313L4D002113","MIAMI-DADE COUNTY","FL","2024-01-30","2024-01-30240300018120",-63274.8
266820858,"ASST_NON_FL0443L4D002110_086","FL0443L4D002110","MIAMI-DADE COUNTY","FL","2024-01-30","2024-01-30240300018138",-186842.59
266807376,"ASST_NON_FL0125L4H102114_086","FL0125L4H102114","CHANGING HOMELESSNESS, INC.","FL","2024-02-12","2024-02-12240430027433",-44043
