"internal_id","generated_internal_id","award_id","recipient_name","recipient_state","action_date","modification_number","federal_action_obligation"
260080590,"ASST_NON_CA1362L9D071400_086","CA1362L9D071400","CITY OF PASADENA","CA","2016-01-20","2016-01-2012000031030",73228
260080587,"ASST_NON_CA1361L9D071400_086","CA1361L9D071400","CITY OF PASADENA","CA","2016-01-20","2016-01-2012000030929",56869
260079146,"ASST_NON_CA1309L9T071400_086","CA1309L9T071400","RITTER CENTER","CA","2016-01-26","2016-01-2612600058528",56998
260079182,"ASST_NON_CA1315L9T131400_086","CA1315L9T131400","KINGS/TULARE CONTINUUM OF CARE ON HOMELESSNESS, INC.","CA","2016-01-26","2016-01-2612600058526",22780
260079683,"ASST_NON_CA1320L9T141400_086","CA1320L9T141400","TURNING POINT OF CENTRAL CALIFORNIA INC","CA","2016-01-26","2016-01-2612600058532",806608
260080393,"ASST_NON_CA1342L9D001400_086","CA1342L9D001400","LOS ANGELES COUNTY DEVELOPMENT AUTHORITY LACDA","CA","2016-01-27","2016-01-2712700027049",1315552
260066749,"ASST_NON_CA0954L9T031403_086","CA0954L9T031403","SACRAMENTO STEPS FORWARD","CA","2016-01-28","2016-01-2812800030316",58309
260030849,"ASST_NON_CA0234L9T081407_086","CA0234L9T081407","HOUSING AUTHORITY OF THE COUNTY OF SANTA CRUZ","CA","2016-02-01","2016-02-0120100062388",46788
260079122,"ASST_NON_CA1304L9T041400_086","CA1304L9T041400","SONOMA COUNTY COMMUNITY DEVELOPMENT COMMISSION","CA","2016-02-02","2016-02-0220200454403",34303
260079163,"ASST_NON_CA1311L9T081400_086","CA1311L9T081400","COUNTY OF SANTA CRUZ","CA","2016-02-08","2016-02-0820800026504",23122
260080321,"ASST_NON_CA1333L9T261400_086","CA1333L9T261400","AMADOR TUOLUMNE COMMUNITY ACTION AGENCY","CA","2016-02-09","2016-02-0920900081358",4190
260054983,"ASST_NON_CA0702L9D011407_086","CA0702L9D011407","REGIONAL TASK FORCE ON THE HOMELESS, INC","CA","2016-02-10","2016-02-1021000030089",316931
260043378,"ASST_NON_CA0497L9D001306_086","CA0497L9D001306","THE SALVATION ARMY","CA","2016-02-16","2016-02-1621600031620",-32606.81
260060170,"ASST_NON_CA0791L9D001305_086","CA0791L9D001305","LOS ANGELES COUNTY DEVELOPMENT AUTHORITY LACDA","CA","2016-02-16","2016-02-1621600031626",-241925
260060918,"ASST_NON_CA0813L9D081305_086","CA0813L9D081305","RIVERSIDE, COUNTY OF","CA","2016-02-16","2016-02-1621600031672",-16720.14
260072897,"ASST_NON_CA1136L9D081302_086","CA1136L9D081302","RIVERSIDE, COUNTY OF","CA","2016-02-16","2016-02-1621600031648",-90300.78
