"internal_id","generated_internal_id","award_id","recipient_name","recipient_state","action_date","modification_number","federal_action_obligation"
266823500,"ASST_NON_FL0532L4D001400_086","FL0532L4D001400","MIAMI-DADE COUNTY","FL","2016-01-20","2016-01-2012000012566",640218
266823402,"ASST_NON_FL0511L4H001400_086","FL0511L4H001400","SUNCOAST PARTNERSHIP TO END HOMELESSNESS, INC.","FL","2016-01-20","2016-01-2012000014821",12016
266823456,"ASST_NON_FL0524L4H091400_086","FL0524L4H091400","TREASURE COAST HOMELESS SERVICES COUNCIL, INC.","FL","2016-01-20","2016-01-2012000014822",17482
266823455,"ASST_NON_FL0523L4H081400_086","FL0523L4H081400","ALACHUA COUNTY COALITION FOR THE HOMELESS & HUNGRY INC","FL","2016-02-03","2016-02-0320300022685",12097
266817201,"ASST_NON_FL0325L4H021302_086","FL0325L4H021302","BOLEY CENTERS INC","FL","2016-03-31","2016-03-3133100029590",-7917
266817869,"ASST_NON_FL0332L4H071302_086","FL0332L4H071302","HOMELESS SERVICES NETWORK OF CENTRAL FLORIDA, INC.","FL","2016-03-31","2016-03-3133100029581",-20868.3
266818938,"ASST_NON_FL0353L4H021304_086","FL0353L4H021304","BOLEY CENTERS INC","FL","2016-04-01","2016-04-0140100011631",-9611
266807565,"ASST_NON_FL0135L4H101306_086","FL0135L4H101306","MENTAL HEALTH RESOURCE CENTER INC","FL","2016-04-01","2016-04-0140100011618",-39820
266804705,"ASST_NON_FL0095L4H071306_086","FL0095L4H071306","HOMELESS SERVICES NETWORK OF CENTRAL FLORIDA, INC.","FL","2016-04-01","2016-04-0140100011623",-670.86
266805559,"ASST_NON_FL0100L4H071306_086","FL0100L4H071306","HOMELESS SERVICES NETWORK OF CENTRAL FLORIDA, INC.","FL","2016-04-01","2016-04-0140100011614",-16092.78
266804643,"ASST_NON_FL0090L4H071306_086","FL0090L4H071306","HOMELESS SERVICES NETWORK OF CENTRAL FLORIDA, INC.","FL","2016-04-01","2016-04-0140100011640",-10.55
266803114,"ASST_NON_FL0079L4H071302_086","FL0079L4H071302","HOMELESS SERVICES NETWORK OF CENTRAL FLORIDA, INC.","FL","2016-04-01","2016-04-0140100011634",-33122.25
266804763,"ASST_NON_FL0098L4H071306_086","FL0098L4H071306","HOMELESS SERVICES NETWORK OF CENTRAL FLORIDA, INC.","FL","2016-04-01","2016-04-0140100011627",-856.7
266804660,"ASST_NON_FL0091L4H071306_086","FL0091L4H071306","HOMELESS SERVICES NETWORK OF CENTRAL FLORIDA, INC.","FL","2016-04-01","2016-04-0140100011609",-0.02
266814281,"ASST_NON_FL0257L4D011508_086","FL0257L4D011508","BROWARD, COUNTY OF","FL","2016-04-27","2016-04-2742700023779",414389
266814315,"ASST_NON_FL0259L4D011508_086","FL0259L4D011508","BROWARD COUNTY HOUSING AUTHORITY","FL","2016-04-27","2016-04-2742700023756",1134229
266819437,"ASST_NON_FL0364L4D011506_086","FL0364L4D011506","BROWARD, COUNTY OF","FL","2016-04-27","2016-04-2742700023774",258039
266820951,"ASST_NON_FL0456L4H101503_086","FL0456L4H101503","CHANGING HOMELESSNESS, INC.","FL","2016-04-27","2016-04-2742700027411",58269
266823932,"ASST_NON_FL0541L4D051501_086","FL0541L4D051501","GULFSTREAM GOODWILL INDUSTRIES INC","FL","2016-04-27","2016-04-2742700023871",241049
266813759,"ASST_NON_FL0249L4D011508_086","FL0249L4D011508","BROWARD, COUNTY OF","FL","2016-04-27","2016-04-2742700023877",226952
266801621,"ASST_NON_FL0057L4H031508_086","FL0057L4H031508","TRI-COUNTY HUMAN SERVICES, INC.","FL","2016-04-27","2016-04-2742700027682",83362
266821434,"ASST_NON_FL0464L4D011503_086","FL0464L4D011503","BROWARD, COUNTY OF","FL","2016-04-27","2016-04-2742700023889",461812
266813703,"ASST_NON_FL0245L4D011506_086","FL0245L4D011506","BROWARD, COUNTY OF","FL","2016-04-27","2016-04-2742700023792",259386
266815540,"ASST_NON_FL0289L4D051508_086","FL0289L4D051508","GULFSTREAM GOODWILL INDUSTRIES INC","FL","2016-04-27","2016-04-2742700023901",1066069
266807325,"ASST_NON_FL0121L4H101507_086","FL0121L4H101507","CHANGING HOMELESSNESS, INC.","FL","2016-04-27","2016-04-2742700027599",76471
266821439,"ASST_NON_FL0465L4D011503_086","FL0465L4D011503","BROWARD, COUNTY OF","FL","2016-04-27","2016-04-2742700023764",220149
266820924,"ASST_NON_FL0450L4H081503_086","FL0450L4H081503","MERIDIAN BEHAVIORAL HEALTHCARE, INC.","FL","2016-04-27","2016-04-2742700027295",27482
266806456,"ASST_NON_FL0112L4H081508_086","FL0112L4H081508","VETSPACE INC","FL","2016-04-27","2016-04-2742700027397",100284
266814234,"ASST_NON_FL0252L4D011508_086","FL0252L4D011508","BROWARD, COUNTY OF","FL","2016-04-27","2016-04-2742700023880",366241
266813742,"ASST_NON_FL0248L4D011508_086","FL0248L4D011508","BROWARD, COUNTY OF","FL","2016-04-27","2016-04-2742700023865",990462
266814298,"ASST_NON_FL0258L4D011508_086","FL0258L4D011508","BROWARD, COUNTY OF","FL","2016-04-27","2016-04-2742700023776",1015277
266822952,"ASST_NON_FL0497L4D011502_086","FL0497L4D011502","BROWARD, COUNTY OF","FL","2016-04-27","2016-04-2742700023758",513830
266820254,"ASST_NON_FL0414L4H081503_086","FL0414L4H081503","THREE RIVERS LEGAL SERVICES, INC.","FL","2016-04-27","2016-04-2742700027525",22550
266801551,"ASST_NON_FL0050L4H031506_086","FL0050L4H031506","TRI-COUNTY HUMAN SERVICES, INC.","FL","2016-04-27","2016-04-2742700027686",106079
266814217,"ASST_NON_FL0251L4D011508_086","FL0251L4D011508","BROWARD, COUNTY OF","FL","2016-04-27","2016-04-2742700023879",931654
266818512,"ASST_NON_FL0347L4D051504_086","FL0347L4D051504","GULFSTREAM GOODWILL INDUSTRIES INC","FL","2016-04-27","2016-04-2742700023813",793830
266807370,"ASST_NON_FL0125L4H101508_086","FL0125L4H101508","CHANGING HOMELESSNESS, INC.","FL","2016-04-27","2016-04-2742700027400",538408
266807355,"ASST_NON_FL0124L4H101508_086","FL0124L4H101508","CHANGING HOMELESSNESS, INC.","FL","2016-04-27","2016-04-2742700027591",65600
266822100,"ASST_NON_FL0477L4D011502_086","FL0477L4D011502","BROWARD, COUNTY OF","FL","2016-04-27","2016-04-2742700023761",331372
266823347,"ASST_NON_FL0503L4D051502_086","FL0503L4D051502","GULFSTREAM GOODWILL INDUSTRIES INC","FL","2016-04-27","2016-04-2742700023811",451468
266820119,"ASST_NON_FL0401L4D011505_086","FL0401L4D011505","BROWARD, COUNTY OF","FL","2016-04-27","2016-04-2742700023769",276978
266823381,"ASST_NON_FL0506L4D061502_086","FL0506L4D061502","YOUTH HAVEN INC","FL","2016-04-27","2016-04-2742700024099",92335
266808312,"ASST_NON_FL0155L4H031508_086","FL0155L4H031508","TRI-COUNTY HUMAN SERVICES, INC.","FL","2016-04-27","2016-04-2742700027645",83146
266819453,"ASST_NON_FL0366L4D011506_086","FL0366L4D011506","BROWARD, COUNTY OF","FL","2016-04-27","2016-04-2742700023886",252981
266808863,"ASST_NON_FL0162L4H191508_086","FL0162L4H191508","COALITION FOR THE HOMELESS OF PASCO COUNTY, INC","FL","2016-04-27","2016-04-2742700027466",31554
266815401,"ASST_NON_FL0275L4D051507_086","FL0275L4D051507","ADOPT-A-FAMILY OF THE PALM BEACHES, INC.","FL","2016-04-27","2016-04-2742700023906",223783
266815523,"ASST_NON_FL0288L4D051508_086","FL0288L4D051508","ADOPT-A-FAMILY OF THE PALM BEACHES, INC.","FL","2016-04-27","2016-04-2742700023817",219425
266812508,"ASST_NON_FL0223L4D001508_086","FL0223L4D001508","CARRFOUR SUPPORTIVE HOUSING INC","FL","2016-04-27","2016-04-2742700023694",445086
266796485,"ASST_NON_FL0002L4H001508_086","FL0002L4H001508","CATHOLIC CHARITIES, DIOCESE OF VENICE, INC. ,","FL","2016-04-27","2016-04-2742700027650",80778
266808079,"ASST_NON_FL0146L4H131508_086","FL0146L4H131508","211 BREVARD, INC.","FL","2016-04-27","2016-04-2742700027433",71455
266809173,"ASST_NON_FL0175L4D001508_086","FL0175L4D001508","MIAMI-DADE COUNTY","FL","2016-04-27","2016-04-2742700023714",294687
266820028,"ASST_NON_FL0390L4D001503_086","FL0390L4D001503","MIAMI-DADE COUNTY","FL","2016-04-27","2016-04-2742700024092",194357
266816732,"ASST_NON_FL0313L4D001507_086","FL0313L4D001507","MIAMI-DADE COUNTY","FL","2016-04-27","2016-04-2742700024082",269556
266811912,"ASST_NON_FL0211L4D001508_086","FL0211L4D001508","MIAMI-DADE COUNTY","FL","2016-04-27","2016-04-2742700024052",255853
